"","drafted","lottery","predraft_colprep","predraft_voted_1968","predraft_ideology_index","postwar_support_us_intervention"
"568",0,345,0,0,NA,"Yes"
"569",0,349,1,1,0.25,"Yes"
"570",0,295,0,1,0.625,"No"
"571",0,9,1,1,0.125,"No"
"572",0,226,0,1,0.625,"Yes"
"573",0,184,1,0,0.25,"Yes"
"574",1,37,0,0,0.5,"No"
"575",0,206,0,NA,0.375,"No"
"576",0,261,1,1,0,"Yes"
"577",0,252,0,0,1,"Yes"
"578",0,301,0,0,0.833333313465118,"Yes"
"579",0,269,0,0,0.125,"Yes"
"580",0,75,1,1,0.125,"Yes"
"581",0,35,1,1,0,"Yes"
"582",0,332,0,1,0.125,"No"
"583",0,294,1,1,0.5,"Yes"
"584",0,325,0,0,0.16666667163372,"Yes"
"585",1,54,1,1,0,"No"
"586",0,161,1,0,NA,"Yes"
"587",0,259,0,0,0.5,"Yes"
"588",1,189,0,0,0.25,"No"
"589",0,334,1,0,0.25,"No"
"590",0,246,1,1,0.5,"Yes"
"591",0,340,0,0,0.833333313465118,"Yes"
"592",0,276,1,NA,0.5,"No"
"593",1,171,0,0,0.666666686534882,"Yes"
"594",1,31,0,1,0.75,"No"
"595",0,55,1,1,0.25,"Yes"
"596",0,309,0,0,NA,"Yes"
"597",0,237,0,1,0.75,"Yes"
"598",0,276,1,1,0,"Yes"
"599",1,142,1,0,0,"No"
"600",0,242,0,0,0.375,"No"
"601",1,136,0,1,0.5,"Yes"
"602",0,340,0,0,0,"Yes"
"603",0,233,0,0,0.125,"Yes"
"604",1,23,0,0,0.25,"Yes"
"605",0,32,1,0,0.5,"Yes"
"606",0,319,0,NA,0.5,"Yes"
"607",0,238,1,1,0,"No"
"608",0,238,0,0,0.16666667163372,"Yes"
"609",0,279,0,1,0.25,"Yes"
"610",0,280,0,1,0,"No"
"611",0,325,0,1,0.5,"No"
"612",0,247,0,1,0.25,"Yes"
"613",0,345,1,1,0.375,"Yes"
"614",0,206,0,1,0.5,"No"
"615",0,284,0,1,1,"Yes"
"616",0,229,0,1,0.5,"Yes"
"617",0,343,0,0,0.5,"No"
"618",0,319,0,1,0,"No"
"619",0,317,1,1,0,"Yes"
"620",0,340,0,0,0.333333343267441,"No"
"621",0,248,0,1,0.25,"No"
"622",1,204,1,0,0.25,"Yes"
"623",0,365,0,0,0.125,"Yes"
"624",0,93,1,1,0.375,"No"
"625",0,202,0,0,0.5,"Yes"
"626",0,264,0,1,0,"Yes"
"627",0,196,0,0,0.25,"Yes"
"628",0,0,1,0,0.25,"Yes"
"629",0,152,1,1,0.16666667163372,"No"
"630",0,332,0,1,0.125,"No"
"631",0,329,0,0,0.25,"Yes"
"632",0,315,0,1,0.5,"Yes"
"633",0,141,1,NA,0.75,"Yes"
"634",0,365,1,1,0.5,"No"
"635",0,92,1,1,0.625,"Yes"
"636",1,154,0,0,0,"Yes"
"637",0,338,0,1,0.625,"Yes"
"638",0,231,0,NA,0.5,"Yes"
"639",0,62,1,1,0,"No"
"640",1,258,1,0,0.5,"No"
"641",0,354,1,1,0.25,"Yes"
"642",0,252,1,0,0.375,"No"
"643",0,272,1,1,0.625,"No"
"644",0,271,0,1,0.375,"Yes"
"645",0,261,0,0,0.375,"Yes"
"646",0,80,1,0,0.625,"No"
"647",0,243,1,1,0.375,"Yes"
"648",0,256,0,0,0.25,"Yes"
"649",0,119,1,1,0.375,"Yes"
"650",0,17,1,NA,0.333333343267441,"Yes"
"651",0,215,1,1,0.5,"No"
"652",0,328,0,1,0.25,"No"
"653",0,316,0,0,0.375,"Yes"
"654",0,123,1,1,0.75,"Yes"
"655",0,310,1,0,0.25,"Yes"
"656",0,323,0,0,0.625,"Yes"
"657",0,244,1,1,0.16666667163372,"Yes"
"658",1,206,1,1,0.5,"Yes"
"659",1,173,0,1,0,"Yes"
"660",0,332,1,NA,0.125,"Yes"
